Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags
Severe Weather - Hurricane Isaac,2012,8/29/2012,6:53 AM,8/30/2012,2:00 PM,Dixie Electric Membership Corp,Louisiana,SERC,150,"68,018","severe weather, hurricane/tropical storm"
Severe Weather - Hurricane Isaac,2012,8/29/2012,9:48 AM,8/31/2012,12:55 PM,Cleco Power LLC,Louisiana,SPP,Unknown,"95,000","severe weather, hurricane/tropical storm"
Severe Weather - Hurricane Isaac,2012,8/29/2012,9:00 AM,8/31/2012,12:00 PM,Louisiana Generating LLC,Louisiana,SERC,300,"50,000","severe weather, hurricane/tropical storm"
Severe Weather - Hurricane Isaac,2012,8/28/2012,6:00 AM,9/4/2012,8:00 AM,Entergy,"Arkansas, Louisiana, Mississippi",SERC,Unknown,"770,000","severe weather, hurricane/tropical storm"
Suspected Physical Attack,2012,8/19/2012,8:42 AM,8/19/2012,12:08 PM,El Paso Electric Co,"El Paso, Texas",WECC,12,"3,314","vandalism, physical"
Vandalism,2012,8/16/2012,1:13 PM,8/16/2012,1:13 PM,Northern Indiana Public Service Company,Northern Indiana,RFC,0,0,vandalism
Severe Weather - Dust Storm; Load Shed Event,2012,8/13/2012,3:52 PM,8/13/2012,7:44 PM,WECC Reliability Coordinator,CFE (Mexico & U.S.),WECC,655,Unknown,"severe weather, dust, load shedding"
Vandalism,2012,8/13/2012,1:15 PM,8/13/2012,1:15 PM,Tennessee Valley Authority,"Knoxville, Tennessee",SERC,Unknown,Unknown,vandalism
Severe Weather - Thunderstorms,2012,8/4/2012,5:30 PM,8/5/2012,12:10 PM,Exelon Corporation/ComEd,Northeast Illinois,RFC,Unknown,"325,000","severe weather, thunderstorm"
Electrical System Separation (Islanding),2012,8/4/2012,3:55 AM,8/4/2012,4:21 AM,Pacific Gas & Electric Co,"Temblor Substation in McKittrick, California",WECC,5,127,islanding
Public Appeal to Reduce Electricity Usage,2012,8/1/2012,12:00 PM,8/1/2012,12:00 PM,Oklahoma Gas & Electric Co,"Oklahoma, Arkansas",SPP,Unknown,Unknown,public appeal
Severe Weather - Thunderstorms,2012,7/27/2012,5:19 PM,7/28/2012,5:19 PM,Duke Energy Midwest,Central Indiana,RFC,Unknown,"52,702","severe weather, thunderstorm"
Severe Weather - Thunderstorms,2012,7/26/2012,6:30 PM,7/27/2012,5:22 PM,American Electric Power (AEP),Eastern Ohio,RFC,Unknown,"57,054","severe weather, thunderstorm"
Severe Weather - Thunderstorms,2012,7/24/2012,7:30 AM,7/24/2012,10:00 PM,Exelon Corporation/ComEd,Northern Illinois,RFC,Unknown,"330,000","severe weather, thunderstorm"
Severe Weather; Equipment Failure,2012,7/21/2012,2:19 AM,7/21/2012,5:20 AM,Lubbock Power and Light,"City of Lubbock, Texas",SPP,220,"70,000","severe weather, equipment failure"
Fuel Supply Deficiency (Coal),2012,7/19/2012,10:30 AM,7/31/2012,11:00 AM,Somerset Operating Company,"Niagara County, New York",NPCC,675,Unknown,"fuel supply emergency, coal"
Severe Weather - Thunderstorms,2012,7/18/2012,2:16 PM,7/19/2012,11:58 PM,Duke Energy Midwest,"Southeast Ohio, Northern Kentucky, Southern Indiana",RFC,480,"103,000","severe weather, thunderstorm"
Severe Weather - Thunderstorms,2012,7/18/2012,4:20 PM,7/18/2012,7:05 PM,American Electric Power (AEP),Eastern Ohio,RFC,Unknown,"67,000","severe weather, thunderstorm"
Severe Weather - Thunderstorms,2012,7/18/2012,11:00 PM,7/19/2012,6:00 AM,Exelon Corporation/ComEd,Northern Illinois,RFC,Unknown,"181,000","severe weather, thunderstorm"
Energy Deficiency Alert,2012,7/9/2012,12:15 PM,7/9/2012,4:14 PM,WECC RC Vancouver,"Alberta, Canada",WECC,9896,Unknown,energy deficiency alert
Fuel Supply Deficiency (Water),2012,7/7/2012,4:00 AM,7/10/2012,4:00 AM,California Department of Water Resources,CAISO California,WECC,Unknown,0,"fuel supply emergency, hydro"
Severe Weather - Thunderstorms,2012,7/5/2012,12:00 AM,7/6/2012,8:30 PM,Consumers Energy,Lower Peninsula Michigan,RFC,Unknown,"111,000","severe weather, thunderstorm"
Operational Failure; Storm Damage,2012,7/1/2012,4:47 PM,7/1/2012,11:00 PM,North Carolina Municipal Power Agency #1,"Tarboro, North Carolina",SERC,48,"6,100","equipment failure, severe weather, storm"
Severe Weather,2012,7/1/2012,5:45 PM,7/1/2012,10:15 PM,"Progress Energy, Carolinas","Northern, Central and Eastern North Carolina",SERC,Unknown,"69,106",severe weather
Severe Weather - Thunderstorms,2012,7/1/2012,1:00 PM,7/3/2012,3:00 PM,Exelon Corporation/ComEd,Illinois,RFC,Unknown,"320,000","severe weather, thunderstorm"
Severe Weather - Thunderstorms,2012,6/30/2012,1:15 AM,7/7/2012,5:33 PM,Atlantic City Electric,Atlantic City Electric Service Territory New Jersey,RFC,UNK,"205,000","severe weather, thunderstorm"
Public Appeal to Reduce Electricity Usage,2012,6/30/2012,3:00 PM,7/2/2012,12:00 PM,Tennessee Valley Authority (TVA),Northeast Tennessee,SERC,UNK,UNK,public appeal
Severe Weather - Thunderstorms,2012,6/30/2012,10:30 PM,7/2/2012,8:11 AM,"Southern Maryland Electric Cooperative, Inc.","Calvert, Charles, St. Mary's, Prince Georges Counties Maryland",RFC,354,"60,000","severe weather, thunderstorm"
Severe Weather - Thunderstorms,2012,6/30/2012,1:00 AM,7/3/2012,1:00 AM,Delmarva Power & Light Company,Delaware; Maryland,RFC,0,"86,390","severe weather, thunderstorm"
Severe Weather - Thunderstorms,2012,6/29/2012,5:15 PM,7/2/2012,11:59 PM,Duke Energy Midwest,Eastern Indiana; Northern Kentucky; Greater Cincinnati area Ohio,RFC,"2,946","4,645,572","severe weather, thunderstorm"
Public Appeal to Reduce Electricity Usage,2012,6/29/2012,4:00 PM,6/29/2012,9:00 PM,Entergy,"Eastern, Arkansas",SERC,45,"7,935",public appeal
Severe Weather - Thunderstorms,2012,6/29/2012,7:00 PM,7/7/2012,7:43 PM,FirstEnergy (Potomac Edison),Maryland; West Virginia,RFC,UNK,"145,000","severe weather, thunderstorm"
Severe Weather - Thunderstorms,2012,6/29/2012,2:10 PM,7/4/2012,6:00 PM,Dayton Power & Light,"Dayton, Ohio",RFC,500,"175,000","severe weather, thunderstorm"
Equipment Trip & Failure,2012,6/29/2012,12:10 PM,6/29/2012,5:02 PM,Puerto Rico Electric Power Authority (PREPA),Puerto Rico,PR,"1,800","900,000",equipment failure
Severe Weather - Thunderstorms,2012,6/29/2012,4:00 PM,7/2/2012,4:00 PM,American Electric Power (AEP),Indiana; Michigan; Ohio; West Virginia,RFC,UNK,"1,355,919","severe weather, thunderstorm"
Severe Weather - Thunderstorms,2012,6/29/2012,10:29 PM,7/4/2012,3:36 PM,Dominion,Virginia,SERC,"5,000","880,000","severe weather, thunderstorm"
Severe Weather - Thunderstorms,2012,6/29/2012,10:15 PM,7/5/2012,12:52 PM,Pepco,"Montgomery and Prince Georges Counties, Maryland; District of Columbia",RFC,"3,000","425,000","severe weather, thunderstorm"
Severe Weather - Thunderstorms,2012,6/29/2012,10:43 PM,7/5/2012,11:50 AM,Baltimore Gas & Electric Company (BGE),"Greater Baltimore area, Maryland",RFC,"1,465","600,000","severe weather, thunderstorm"
Physical Attack,2012,6/29/2012,10:45 AM,6/29/2012,10:45 AM,Delmarva Power & Light Company,"New Castle, Delaware",RFC,0,0,"vandalism, physical"
Severe Weather - Thunderstorms,2012,6/29/2012,6:24 PM,7/6/2012,10:00 AM,FirstEnergy (Mon Power),West Virginia,RFC,700,"265,000","severe weather, thunderstorm"
Severe Weather - Thunderstorms,2012,6/29/2012,11:30 PM,6/30/2012,2:00 AM,Exelon Corporation/ComEd,Northeast Illinois,RFC,UNK,"109,000","severe weather, thunderstorm"
Severe Weather - Wind & Rain,2012,6/25/2012,4:04 PM,6/26/2012,1:45 PM,Dominion,Central Virginia,SERC,600,"190,000","severe weather, wind, rain"
Load Shed,2012,6/23/2012,6:57 PM,6/23/2012,7:28 PM,ISO New England,"North Shore, Massachusetts",NPCC,51,"29,250",load shedding
Severe Weather - Thunderstorms,2012,6/19/2012,4:30 AM,6/20/2012,11:00 PM,Xcel Energy,"Minneapolis/St. Paul, Minnesota",MRO,UNK,"68,200","severe weather, thunderstorm"
Fuel Supply Deficiency (Water),2012,6/19/2012,5:30 AM,6/21/2012,5:30 AM,California Department of Water Resources,CAISO Territory California,WECC,UNK,UNK,"fuel supply emergency, hydro"
Vandalism,2012,6/13/2012,4:55 PM,6/13/2012,10:09 PM,Public Service Company of New Mexico,"San Juan County, New Mexico",WECC,0,0,vandalism
Severe Weather - Thunderstorms,2012,6/12/2012,3:57 PM,6/14/2012,4:57 AM,CenterPoint Energy,"Houston, Texas",TRE,920,"175,000","severe weather, thunderstorm"
Severe Weather - Thunderstorms,2012,6/11/2012,7:50 PM,6/12/2012,3:00 PM,Southern Company,North/Central Alabama; North/Central Georgia,SERC,368,"110,591","severe weather, thunderstorm"
Load Shed,2012,6/8/2012,5:20 PM,6/8/2012,5:25 PM,Public Service Company of Colorado,"Denver Metro Area, Colorado",WECC,120,"30,379",load shedding
Vandalism,2012,6/6/2012,12:37 PM,6/6/2012,12:37 PM,Potomac Electric Power Company (PEPCO),"Columbia Heights, NW, Washington DC",RFC,0,0,vandalism
Physical Attack,2012,5/31/2012,11:45 PM,6/1/2012,4:30 AM,American Electric Power (AEP),"Columbus, Ohio",RFC,0,0,"vandalism, physical"
Severe Weather - Thunderstorms,2012,5/29/2012,8:35 PM,5/31/2012,10:00 AM,Oklahoma Gas & Electric,"Oklahoma City Metro Area, Oklahoma",SPP,UNK,"112,000","severe weather, thunderstorm"
Physical Attack,2012,5/24/2012,3:20 PM,5/25/2012,5:29 PM,ISO New England,"Tyngsborough, Massachusetts",NPCC,UNK,UNK,"vandalism, physical"
Load Shed/Severe Weather  - Lightning Storm,2012,5/7/2012,5:45 PM,5/7/2012,6:06 PM,American Electric Power (AEP),Eastern Ohio,RFC,420,1,"load shedding, severe weather, thunderstorm"
Vandalism,2012,5/7/2012,12:50 PM,5/7/2012,2:00 PM,ISO New England,"Williston, Vermont",NPCC,0,0,vandalism
Suspected Physical Attack,2012,4/17/2012,6:11 AM,4/17/2012,5:48 PM,San Diego Gas & Electric Company,"San Diego County, California",WECC,0,0,"vandalism, physical"
Severe Weather - High Winds,2012,4/16/2012,3:46 PM,4/19/2012,2:00 AM,"Detroit Edison, Subsidiary of DTE Energy","Southeast, Michigan",RFC,218,"111,393","severe weather, wind"
Suspected Physical Attack,2012,4/15/2012,7:38 PM,4/15/2012,9:26 PM,Southern Company,Georgia,SERC,UNK,UNK,"vandalism, physical"
Vandalism,2012,4/11/2012,9:00 AM,4/11/2012,9:00 AM,North Attleborough Electric Department,"North Attleboro, Massachusetts",NPCC,0,0,vandalism
Physical Attack,2012,4/7/2012,2:35 PM,4/7/2012,2:36 PM,Delmarva Power & Light Company,"Newark, Delaware",RFC,0,0,"vandalism, physical"
Physical Attack,2012,4/7/2012,12:25 PM,4/7/2012,12:26 PM,Delmarva Power & Light Company,"Newark, Delaware",RFC,0,0,"vandalism, physical"
Physical Attack,2012,4/7/2012,9:31 AM,4/7/2012,9:32 AM,Delmarva Power & Light Company,"Newark, Delaware",RFC,0,0,"vandalism, physical"
Physical Attack,2012,4/3/2012,3:33 PM,4/3/2012,8:25 PM,Seattle City Light,"Seattle, Washington",WECC,0,0,"vandalism, physical"
Vandalism,2012,4/3/2012,11:10 AM,4/3/2012,11:25 AM,ISO New England,"West Rutland, Vermont",NPCC,0,0,vandalism
Vandalism,2012,4/1/2012,8:27 PM,4/3/2012,8:28 AM,Mid American Energy Company,"Council Bluffs, Iowa",MRO,0,0,vandalism
Electrical System Separation (Islanding),2012,3/29/2012,12:01 PM,3/29/2012,12:02 PM,Lansing Board of Water & Light,"Lansing, Michigan",RFC,UNK,0,islanding
Suspected Physical Attack,2012,3/23/2012,7:34 PM,3/23/2012,7:34 PM,Delmarva Power & Light Company,"Newark, Delaware",RFC,0,0,"vandalism, physical"
Suspected Physical Attack,2012,3/16/2012,4:00 PM,3/16/2012,4:00 PM,Delmarva Power & Light Company,"New Castle, Delaware",RFC,0,0,"vandalism, physical"
Suspected Physical Attack,2012,3/4/2012,1:38 PM,3/5/2012,11:00 AM,Entergy Corporation,Texas,SERC,UNK,UNK,"vandalism, physical"
Severe Weather - Winter Storm,2012,3/2/2012,9:00 PM,3/4/2012,5:30 PM,Consumers Energy,"Lower Peninsula, Michigan",RFC,50,"140,000","severe weather, winter storm"
Severe Weather - Winter Storm,2012,3/2/2012,9:00 PM,3/5/2012,4:30 PM,"Detroit Edison, Subsidiary of DTE Energy","Southeastern, Michigan",RFC,371,"130,000","severe weather, winter storm"
Severe Weather - Tornadoes,2012,3/2/2012,12:37 PM,3/5/2012,12:01 PM,Tennessee Valley Authority (TVA),Northern Alabama; Southeast Tennessee,SERC,500,UNK,"severe weather, tornado"
Suspected Physical Attack,2012,2/28/2012,7:00 AM,2/28/2012,7:00 AM,Coos Curry Electric Cooperative,Coos County Oregon,WECC,UNK,UNK,"vandalism, physical"
Electrical System Separation (Islanding),2012,2/28/2012,2:59 AM,2/28/2012,6:12 AM,Pacific Gas and Electric,"Sacramento, California",WECC,1,1,islanding
Suspected Physical Attack,2012,2/23/2012,5:45 AM,2/23/2012,3:02 PM,City of College Station,"South East College Station, Texas",TRE,0,0,"vandalism, physical"
Suspected Physical Attack,2012,2/23/2012,11:12 PM,2/24/2012,1:00 AM,ISO New England,"Londonderry, New Hampshire",NPCC,0,0,"vandalism, physical"
Severe Weather - Winter Storm,2012,2/19/2012,5:00 PM,2/21/2012,7:33 AM,American Electric Power,"Kentucky, Virginia, West Virginia",SERC,UNK,"90,000","severe weather, winter storm"
Suspected Cyber Attack,2012,2/17/2012,3:00 AM,2/17/2012,11:33 AM,"Entergy Services, Inc","Little Rock, Arkansas",SERC,UNK,UNK,"vandalism, cyber"
Suspected Physical Attack,2012,2/15/2012,5:33 AM,2/15/2012,5:30 PM,Puget Sound Energy,"Port Orchard, Washington",WECC,0,0,"vandalism, physical"
Suspected Physical Attack,2012,2/11/2012,8:47 AM,2/11/2012,10:30 AM,Xcel Energy (Public Service Company of Colorado),"Lamar, Colorado",WECC,0,0,"vandalism, physical"
Severe Weather - Winter Storm,2012,1/19/2012,7:00 AM,1/20/2012,3:00 PM,Puget Sound Energy,"King, Pierce and Thurston Counties, Washington",WECC,"1,600","426,000","severe weather, winter storm"
Physical Attack,2012,1/13/2012,9:20 AM,1/13/2012,9:20 AM,Delmarva Power & Light Company,"Newark, Delaware",RFC,0,0,"vandalism, physical"
Physical Attack,2012,1/12/2012,8:26 AM,1/12/2012,8:26 AM,Delmarva Power & Light Company,"Newark, Delaware",RFC,0,0,"vandalism, physical"
Suspected Physical Attack,2012,1/11/2012,7:19 AM,1/11/2012,9:07 AM,Nevada Power Company (NV Energy),Nevada,WECC,0,0,"vandalism, physical"
Load Shed,2012,1/9/2012,1:36 PM,1/11/2012,1:05 AM,The Dow Chemical Company,Louisiana,SERC,150,1,load shedding
Sabotage,2012,1/5/2012,10:35 AM,1/5/2012,12:25 PM,American Electric Power,"CSWS/AEP West territory, Oklahoma",SPP,0,0,vandalism
Suspected Cyber Attack,2011,12/21/2011,10:30 AM,12/21/2011,10:30 AM,Idaho Power Company,"Boise, Idaho",WECC,0,0,"vandalism, cyber"
Suspected Physical Attack,2011,12/20/2011,7:45 AM,12/20/2011,8:45 AM,PacifiCorp,"Sweet Home, Oregon",WECC,12,"2,500","vandalism, physical"
Severe Weather,2011,12/7/2011,7:29 PM,12/7/2011,10:57 PM,Dominion Virginia Power,Central Virginia,SERC,240,"60,000",severe weather
Public Appeal to Reduce Electricity Usage,2011,12/6/2011,8:00 AM,12/6/2011,8:00 PM,Montana Dakota Utilities,"Bismarck-Mandan, North Dakota",MRO,155,"34,500",public appeal
Suspected Physical Attack,2011,12/6/2011,5:38 PM,12/7/2011,11:04 AM,ITC Holdings,"Montague, Michigan",RFC,0,0,"vandalism, physical"
Severe Weather,2011,12/1/2011,12:45 AM,12/7/2011,9:00 PM,Southern California Edison (SCE),Southern California,WECC,UNK,"91,690",severe weather
Severe Weather,2011,12/1/2011,10:00 AM,12/2/2011,1:11 PM,PacifiCorp,Wasatch Front Area Utah,WECC,UNK,"60,000",severe weather
Severe Weather,2011,12/1/2011,3:29 AM,12/2/2011,1:05 PM,Pacific Gas and Electric,Northern California,WECC,300,"100,000",severe weather
Vandalism,2011,11/30/2011,10:00 AM,11/30/2011,11:00 AM,City of Tacoma - TPWR,"Orchard Substation, Washington",WECC,0,0,vandalism
Severe Weather,2011,11/30/2011,4:56 PM,12/2/2011,10:00 AM,Los Angeles Department of Water and Power,"City of Los Angeles, California",WECC,UNK,"150,000",severe weather
Suspected Physical Attack,2011,11/22/2011,11:16 PM,11/22/2011,11:16 PM,Northern Indiana Public Service Co,Indiana,RFC,0,0,"vandalism, physical"
Vandalism,2011,11/14/2011,2:24 PM,11/14/2011,2:24 PM,Atlantic City Electric,"McKee, New Jersey",RFC,0,0,vandalism
Vandalism,2011,11/13/2011,11:30 AM,11/13/2011,12:00 PM,ISO New England / obo Public Service of New Hampshire,"Cate Road, Deerfield, New Hampshire",NPCC,0,0,vandalism
Vandalism,2011,11/4/2011,10:46 AM,11/4/2011,10:46 AM,PacifiCorp,"Sweetwater County, Wyoming",WECC,0,0,vandalism
Severe Weather,2011,10/29/2011,12:57 PM,11/3/2011,11:00 PM,PPL Electric Utilities,"Harrisburg, Lehigh Valley, Lancaster Region Pennsylvania",RFC,UNK,"146,721",severe weather
Severe Weather,2011,10/29/2011,4:16 PM,11/2/2011,9:30 PM,"Consolidated Edison Company of NY, Inc",New York City area,NPCC,UNK,"50,000",severe weather
Severe Weather,2011,10/29/2011,8:59 AM,11/7/2011,7:58 PM,Metropolitan Edison Company,Pennsylvania,RFC,UNK,"312,359",severe weather
Severe Weather,2011,10/29/2011,4:14 PM,11/7/2011,4:00 PM,ISO New England,Connecticut; Maine; Massachusetts; New Hampshire; Rhode Island,NPCC,UNK,"1,418,100",severe weather
Severe Weather,2011,10/29/2011,8:59 AM,11/7/2011,3:00 PM,Potomac Edison,Pennsylvania,RFC,UNK,"50,000",severe weather
Severe Weather,2011,10/29/2011,2:00 PM,10/31/2011,14:00,Exelon Corporation/PECO,Southeast Pennsylvania,RFC,UNK,"109,335",severe weather
Severe Weather,2011,10/29/2011,9:59 AM,11/7/2011,1:00 PM,Jersey Central Power & Light Company,Northwest and Central New Jersey,RFC,UNK,"379,000",severe weather
Severe Weather,2011,10/29/2011,2:30 PM,11/6/2011,12:00 PM,Public Service Electric and Gas Company,New Jersey,RFC,125,"197,000",severe weather
Severe Weather,2011,10/29/2011,11:18 AM,11/4/2011,12:00 AM,New York State Elec & Gas Corp,Southeast New York,NPCC,UNK,"161,151",severe weather
Severe Weather,2011,10/26/2011,5:00 AM,10/27/2011,3:00 PM,Public Service Company of Colorado,"Denver; Ft. Collins, Colorado",WECC,UNK,"204,000",severe weather
Suspected Physical Attack,2011,10/24/2011,11:37 PM,10/26/2011,11:00 PM,PJM Interconnection,"Holmesburg Substation, Philadelphia, Pennsylvania",RFC,0,0,"vandalism, physical"
Vandalism,2011,10/20/2011,7:15 AM,10/20/2011,7:15 AM,Atlantic City Electric,"McKee, New Jersey",RFC,0,0,vandalism
Suspected Physical Attack,2011,10/18/2011,3:45 AM,10/18/2011,5:25 AM,PECO Energy,"Holmesburg Substation, Philadelphia, Pennsylvania",RFC,0,0,"vandalism, physical"
Vandalism,2011,10/17/2011,3:44 PM,10/17/2011,3:44 PM,Duke Energy,Southwest Ohio,RFC,7,"2,000",vandalism
Vandalism,2011,10/17/2011,3:34 AM,10/17/2011,10:42 AM,Potomac Electric Power Company,"Seat Pleasant, Maryland",RFC,0,0,vandalism
Vandalism,2011,10/14/2011,2:20 PM,10/14/2011,2:20 PM,Atlantic City Electric,"English Creek, New Jersey",RFC,0,0,vandalism
Vandalism,2011,10/6/2011,11:07 AM,10/6/2011,11:07 AM,PacifiCorp,"Oquirrh Substation, Utah",WECC,0,0,vandalism
Suspected Physical Attack,2011,9/30/2011,8:22 AM,9/30/2011,8:22 AM,Delmarva Power & Light Company,"Wilmington, Delaware",RFC,0,0,"vandalism, physical"
Suspected Physical Attack,2011,9/28/2011,4:41 PM,9/28/2011,4:41 PM,Delmarva Power & Light Company,"Bethany Beach, Delaware",RFC,0,0,"vandalism, physical"
Vandalism,2011,9/28/2011,2:59 PM,9/28/2011,2:59 PM,Atlantic City Electric,"Dorothy, New Jersey",RFC,0,0,vandalism
Vandalism,2011,9/26/2011,10:15 AM,9/26/2011,10:15 AM,Atlantic City Electric,"McKee City, New Jersey",RFC,0,0,vandalism
Vandalism,2011,9/23/2011,9:04 AM,9/23/2011,9:04 AM,The United Illuminating Company,"North Haven, Connecticut",NPCC,0,0,vandalism
Generation Inadequacy; Load Shed,2011,9/21/2011,2:37 PM,9/21/2011,3:47 PM,Puerto Rico Electric Power Authority (PREPA),Puerto Rico,PR,600,"319,616",load shedding
Suspected Physical Attack,2011,9/21/2011,10:30 AM,9/21/2011,10:30 AM,Delmarva Power & Light Company,"Hockessin, Delaware",RFC,0,0,"vandalism, physical"
Vandalism,2011,9/14/2011,9:00 AM,9/14/2011,2:00 PM,PacifiCorp,"Salt Lake County, Utah",WECC,0,0,vandalism
Vandalism,2011,9/12/2011,9:15 AM,9/12/2011,3:30 PM,Atlantic City Electric,"English Creek, New Jersey",RFC,0,0,vandalism
Transmission/Distribution Interruption; Load Shed; Generation Inadequacy,2011,9/8/2011,3:28 PM,9/10/2011,3:30 PM,WECC Reliability Coordinator,Arizona; California,WECC,"7,000","2,000,000","transmission interruption, distribution interruption"
Actual Physical Attack,2011,9/7/2011,12:08 AM,9/7/2011,10:50 AM,ISO New England,Western Connecticut; New York,NPCC,0,0,"vandalism, physical"
Severe Weather,2011,9/5/2011,4:30 PM,9/7/2011,3:45 PM,Southern Company,Alabama; Georgia,SERC,177,"53,295",severe weather
Severe Weather,2011,9/3/2011,2:00 PM,9/8/2011,6:00 PM,"Detroit Edison, Subsidiary of DTE Energy","Southeast Lower Peninsula, Michigan",RFC,UNK,"105,000",severe weather
Suspected Physical Attack,2011,8/31/2011,12:52 PM,8/31/2011,12:52 PM,Duke Energy,Southwest Ohio,RFC,0,0,"vandalism, physical"
Suspected Physical Attack,2011,8/28/2011,8:55 PM,8/28/2011,11:39 PM,PacifiCorp,"Calapooya Substation, Oregon",WECC,0,0,"vandalism, physical"
Severe Weather,2011,8/28/2011,5:00 AM,8/30/2011,5:00 AM,Long Island Power Authority,"Long Island, New York",NPCC,UNK,"152,261",severe weather
Severe Weather,2011,8/28/2011,2:58 AM,8/30/2011,2:58 AM,PPL Electric Utilities,Eastern and Northeastern Pennsylvania,RFC,110,"284,000",severe weather
Severe Weather,2011,8/28/2011,12:23 AM,8/30/2011,12:23 AM,Public Service Electric and Gas Company,New Jersey,RFC,500,"665,000",severe weather
Severe Weather,2011,8/28/2011,7:00 AM,9/3/2011,12:01 AM,New York State Electric & Gas Corporation,New York,NPCC,UNK,"99,700",severe weather
Severe Weather,2011,8/27/2011,8:30 PM,9/4/2011,11:30 PM,Baltimore Gas and Electric Company,Maryland,RFC,"1,114","760,113",severe weather
Severe Weather,2011,8/27/2011,2:57 AM,8/29/2011,11:30 PM,Progress Energy Carolinas,Eastern North Carolina,SERC,UNK,"285,465",severe weather
Severe Weather,2011,8/27/2011,10:00 PM,8/29/2011,4:00 PM,Atlantic City Electric Company,Southern New Jersey,RFC,320,"140,000",severe weather
Severe Weather,2011,8/27/2011,10:33 AM,8/29/2011,2:00 PM,Dominion Virginia Power,North Carolina; Virginia,SERC,UNK,"1,000,000",severe weather
Severe Weather,2011,8/27/2011,7:00 PM,8/29/2011,1:31 PM,North Carolina Eastern Municipal Power Agency,Eastern North Carolina,SERC,200,"136,000",severe weather
Severe Weather,2011,8/27/2011,11:00 PM,8/29/2011,8:00 AM,Southern Maryland Electric Cooperative (SMECO),Maryland,RFC,UNK,"108,000",severe weather
Distribution System Interruption,2011,8/27/2011,2:00 AM,8/27/2011,5:15 AM,Town of Stantonsburg JRO,Wilson County North Carolina,SERC,2,"1,200",distribution interruption
Suspected Physical Attack,2011,8/25/2011,12:01 AM,8/25/2011,12:01 AM,Central Maine Power Company,Maine,NPCC,0,0,"vandalism, physical"
Public Appeal to Reduce Electricity Usage,2011,8/24/2011,1:20 PM,8/29/2011,7:00 PM,ERCOT ISO,Texas,TRE,0,0,public appeal
Severe Weather,2011,8/24/2011,7:45 AM,8/25/2011,6:00 AM,CenterPoint Energy,"Houston area, Texas",TRE,485,"79,000",severe weather
Public Appeal to Reduce Electricity Usage,2011,8/23/2011,3:43 PM,8/23/2011,7:00 PM,ERCOT ISO,Texas,TRE,0,0,public appeal
Public Appeal to Reduce Electricity Usage,2011,8/23/2011,10:30 AM,8/23/2011,4:54 PM,Southwestern Public Service Company,"Southeastern New Mexico,  Texas Panhandle",SPP,0,0,public appeal
Earthquake,2011,8/23/2011,1:51 PM,8/23/2011,1:51 PM,Dominion Virginia Power,Virginia,RFC,0,0,earthquake
Severe Weather,2011,8/21/2011,10:45 PM,8/23/2011,10:45 PM,Puerto Rico Electric Power Authority (PREPA),Puerto Rico,PR,"2,200","931,000",severe weather
Severe Weather,2011,8/20/2011,5:42 PM,8/23/2011,8:00 PM,"Detroit Edison, Subsidiary of DTE Energy",Southeastern Michigan,RFC,254,"65,000",severe weather
Vandalism,2011,8/15/2011,2:05 AM,8/15/2011,3:40 AM,PacifiCorp,Utah,WECC,0,0,vandalism
Severe Weather,2011,8/13/2011,4:41 PM,8/14/2011,7:00 PM,LG&E and KU Energy LLC,Kentucky,SERC,UNK,"181,700",severe weather
Electrical System Separation (Islanding),2011,8/8/2011,7:36 PM,8/9/2011,12:00 PM,Oklahoma Municipal Power Authority,Oklahoma,SPP,92,"14,500",islanding
Suspected Physical Attack,2011,8/8/2011,9:30 AM,8/8/2011,9:30 AM,Dayton Power & Light,"Greene County, Ohio",RFC,0,0,"vandalism, physical"
Public Appeal to Reduce Electricity Usage,2011,8/3/2011,4:30 PM,8/3/2011,9:00 PM,Entergy,Central Arkansas,SPP,0,0,public appeal
Fuel Supply Deficiency (Coal),2011,8/3/2011,10:00 AM,8/19/2011,10:00 AM,AES Somerset LLC,Western New York,NPCC,675,UNK,"fuel supply emergency, coal"
Severe Weather,2011,8/2/2011,9:30 PM,8/3/2011,7:00 PM,Exelon Corporation/ComEd,"Northeast, Illinois",RFC,UNK,"71,500",severe weather
Public Appeal to Reduce Electricity Usage,2011,8/1/2011,3:00 PM,8/5/2011,7:00 PM,ERCOT ISO,Texas,TRE,0,0,public appeal
Severe Weather,2011,7/28/2011,12:14 AM,7/29/2011,12:00 PM,Exelon Corporation/ComEd,"Entire ComEd Territory, Indiana",RFC,UNK,"201,000",severe weather
Vandalism,2011,7/26/2011,12:01 PM,7/26/2011,12:01 PM,Western Farmers Electric Cooperative,"Backup Control Center, Oklahoma",SPP,0,0,vandalism
Vandalism,2011,7/24/2011,2:34 PM,7/24/2011,3:47 PM,Public Service of NH (Northeast Utilities),"Southern, New Hampshire",NPCC,0,0,vandalism
Severe Weather,2011,7/23/2011,2:30 AM,7/24/2011,9:00 AM,Exelon Corporation/ComEd,Illinois,RFC,UNK,"169,000",severe weather
Load Shed,2011,7/22/2011,11:34 AM,7/22/2011,5:26 PM,PJM Interconnection,Ohio,RFC,206,"23,000",load shedding
